"embedding","k","method_1","method_2","ari"
"user_embeddings_64",2,"KMeans","PD",-0.000206003851021497
"user_embeddings_64",2,"KMeans","RKM",0.993903086303019
"user_embeddings_64",2,"KMeans","RKM",0.993903086303019
"user_embeddings_64",2,"KMeans","RKM",0.992679952236069
"user_embeddings_64",2,"KMeans","RKM",0.995124965209548
"user_embeddings_64",2,"KMeans","FPDC",0.00988261833933926
"user_embeddings_64",2,"KMeans","FPDC",0.00995835275753571
"user_embeddings_64",2,"KMeans","FPDC",0.00297970067491749
"user_embeddings_64",2,"KMeans","FPDC",0.00318066942761969
"user_embeddings_64",2,"KMeans","FPDC",0.00119415820163741
"user_embeddings_64",2,"KMeans","FPDC",0.00134114232587867
"user_embeddings_64",2,"KMeans","FPDC",-5.47123659897634e-05
"user_embeddings_64",2,"KMeans","FPDC",-4.47212468071513e-05
"user_embeddings_64",2,"PD","RKM",-0.000174135296823936
"user_embeddings_64",2,"PD","RKM",-0.000174135296823936
"user_embeddings_64",2,"PD","RKM",-0.000167103645239467
"user_embeddings_64",2,"PD","RKM",-0.000180947634740238
"user_embeddings_64",2,"PD","FPDC",-0.00012176621449943
"user_embeddings_64",2,"PD","FPDC",-9.70898306099069e-05
"user_embeddings_64",2,"PD","FPDC",-0.000163871989144984
"user_embeddings_64",2,"PD","FPDC",-0.000156741679276635
"user_embeddings_64",2,"PD","FPDC",8.70995698884094e-05
"user_embeddings_64",2,"PD","FPDC",-0.00014704913865136
"user_embeddings_64",2,"PD","FPDC",-0.000164588093073992
"user_embeddings_64",2,"PD","FPDC",1.87813195600259e-05
"user_embeddings_64",2,"RKM","RKM",1
"user_embeddings_64",2,"RKM","RKM",0.998774809243722
"user_embeddings_64",2,"RKM","RKM",0.99877648173708
"user_embeddings_64",2,"RKM","FPDC",0.00955021971282083
"user_embeddings_64",2,"RKM","FPDC",0.00962489552455278
"user_embeddings_64",2,"RKM","FPDC",0.0027921482568805
"user_embeddings_64",2,"RKM","FPDC",0.00298766913295666
"user_embeddings_64",2,"RKM","FPDC",0.00112516969681021
"user_embeddings_64",2,"RKM","FPDC",0.0013159366519598
"user_embeddings_64",2,"RKM","FPDC",-4.95445868249015e-05
"user_embeddings_64",2,"RKM","FPDC",-3.67118869982015e-05
"user_embeddings_64",2,"RKM","RKM",0.998774809243722
"user_embeddings_64",2,"RKM","RKM",0.99877648173708
"user_embeddings_64",2,"RKM","FPDC",0.00955021971282083
"user_embeddings_64",2,"RKM","FPDC",0.00962489552455278
"user_embeddings_64",2,"RKM","FPDC",0.0027921482568805
"user_embeddings_64",2,"RKM","FPDC",0.00298766913295666
"user_embeddings_64",2,"RKM","FPDC",0.00112516969681021
"user_embeddings_64",2,"RKM","FPDC",0.0013159366519598
"user_embeddings_64",2,"RKM","FPDC",-4.95445868249015e-05
"user_embeddings_64",2,"RKM","FPDC",-3.67118869982015e-05
"user_embeddings_64",2,"RKM","RKM",0.997551698614785
"user_embeddings_64",2,"RKM","FPDC",0.00948439786541361
"user_embeddings_64",2,"RKM","FPDC",0.00955886196123304
"user_embeddings_64",2,"RKM","FPDC",0.00275529568046694
"user_embeddings_64",2,"RKM","FPDC",0.00294972698475837
"user_embeddings_64",2,"RKM","FPDC",0.00110255616622999
"user_embeddings_64",2,"RKM","FPDC",0.00129084987635149
"user_embeddings_64",2,"RKM","FPDC",-4.4344043080663e-05
"user_embeddings_64",2,"RKM","FPDC",-3.36625239792887e-05
"user_embeddings_64",2,"RKM","FPDC",0.00961626085295625
"user_embeddings_64",2,"RKM","FPDC",0.00969114838238883
"user_embeddings_64",2,"RKM","FPDC",0.00282922013578256
"user_embeddings_64",2,"RKM","FPDC",0.00302583058481776
"user_embeddings_64",2,"RKM","FPDC",0.00114800256705643
"user_embeddings_64",2,"RKM","FPDC",0.00129079959757379
"user_embeddings_64",2,"RKM","FPDC",-5.45258000476062e-05
"user_embeddings_64",2,"RKM","FPDC",-3.95419140834402e-05
"user_embeddings_64",2,"FPDC","FPDC",0.996690934807324
"user_embeddings_64",2,"FPDC","FPDC",0.436731418040148
"user_embeddings_64",2,"FPDC","FPDC",0.436293756731792
"user_embeddings_64",2,"FPDC","FPDC",0.0110638816334971
"user_embeddings_64",2,"FPDC","FPDC",0.00674326544571175
"user_embeddings_64",2,"FPDC","FPDC",0.0231400066081365
"user_embeddings_64",2,"FPDC","FPDC",0.0229382449559983
"user_embeddings_64",2,"FPDC","FPDC",0.436293756598082
"user_embeddings_64",2,"FPDC","FPDC",0.435856314524258
"user_embeddings_64",2,"FPDC","FPDC",0.0109938053220895
"user_embeddings_64",2,"FPDC","FPDC",0.00690940348750735
"user_embeddings_64",2,"FPDC","FPDC",0.0228376660924551
"user_embeddings_64",2,"FPDC","FPDC",0.0226372194103605
"user_embeddings_64",2,"FPDC","FPDC",0.986138772931703
"user_embeddings_64",2,"FPDC","FPDC",0.0248905600942215
"user_embeddings_64",2,"FPDC","FPDC",0.0235461863867031
"user_embeddings_64",2,"FPDC","FPDC",0.0543394152314521
"user_embeddings_64",2,"FPDC","FPDC",0.0512908135130274
"user_embeddings_64",2,"FPDC","FPDC",0.0247858305371142
"user_embeddings_64",2,"FPDC","FPDC",0.0242654619518166
"user_embeddings_64",2,"FPDC","FPDC",0.0548042734122874
"user_embeddings_64",2,"FPDC","FPDC",0.0508410857896209
"user_embeddings_64",2,"FPDC","FPDC",0.417253740539158
"user_embeddings_64",2,"FPDC","FPDC",0.0480386192880717
"user_embeddings_64",2,"FPDC","FPDC",0.0471700811408273
"user_embeddings_64",2,"FPDC","FPDC",0.0403726731431779
"user_embeddings_64",2,"FPDC","FPDC",0.0374920559422362
"user_embeddings_64",2,"FPDC","FPDC",0.225968939372549
"user_embeddings_64",3,"KMeans","PD",-0.000212812894316643
"user_embeddings_64",3,"KMeans","RKM",0.98672562572658
"user_embeddings_64",3,"KMeans","RKM",0.979553088411945
"user_embeddings_64",3,"KMeans","RKM",0.988343144059586
"user_embeddings_64",3,"KMeans","RKM",0.970849539210932
"user_embeddings_64",3,"KMeans","FPDC",0.0344183996951727
"user_embeddings_64",3,"KMeans","FPDC",0.0334334967110642
"user_embeddings_64",3,"KMeans","FPDC",0.0167974524683347
"user_embeddings_64",3,"KMeans","FPDC",0.0149324191085669
"user_embeddings_64",3,"KMeans","FPDC",0.0149296610402502
"user_embeddings_64",3,"KMeans","FPDC",0.0162812357884096
"user_embeddings_64",3,"KMeans","FPDC",0.0229647102240794
"user_embeddings_64",3,"KMeans","FPDC",0.0245219316147997
"user_embeddings_64",3,"PD","RKM",-0.000237254372669728
"user_embeddings_64",3,"PD","RKM",-0.000205076930174509
"user_embeddings_64",3,"PD","RKM",-0.000240480357778591
"user_embeddings_64",3,"PD","RKM",-0.000243171066932637
"user_embeddings_64",3,"PD","FPDC",-0.000222109008142292
"user_embeddings_64",3,"PD","FPDC",-0.000160163651041953
"user_embeddings_64",3,"PD","FPDC",6.0147987126221e-05
"user_embeddings_64",3,"PD","FPDC",-1.48934389483943e-05
"user_embeddings_64",3,"PD","FPDC",-0.000132226021823139
"user_embeddings_64",3,"PD","FPDC",-0.000118797240854872
"user_embeddings_64",3,"PD","FPDC",-0.000207039562610238
"user_embeddings_64",3,"PD","FPDC",-0.000210724211955307
"user_embeddings_64",3,"RKM","RKM",0.979488251772376
"user_embeddings_64",3,"RKM","RKM",0.988352782486656
"user_embeddings_64",3,"RKM","RKM",0.972252206452338
"user_embeddings_64",3,"RKM","FPDC",0.0351211401094752
"user_embeddings_64",3,"RKM","FPDC",0.0341350077104087
"user_embeddings_64",3,"RKM","FPDC",0.0168586741944811
"user_embeddings_64",3,"RKM","FPDC",0.0149354510345919
"user_embeddings_64",3,"RKM","FPDC",0.0143961195559775
"user_embeddings_64",3,"RKM","FPDC",0.015614339133827
"user_embeddings_64",3,"RKM","FPDC",0.022097336302808
"user_embeddings_64",3,"RKM","FPDC",0.0237810864240386
"user_embeddings_64",3,"RKM","RKM",0.98683244996319
"user_embeddings_64",3,"RKM","RKM",0.988346286734023
"user_embeddings_64",3,"RKM","FPDC",0.0368966386525831
"user_embeddings_64",3,"RKM","FPDC",0.0359028719108919
"user_embeddings_64",3,"RKM","FPDC",0.0176289889182843
"user_embeddings_64",3,"RKM","FPDC",0.0154875697819462
"user_embeddings_64",3,"RKM","FPDC",0.0161384947059535
"user_embeddings_64",3,"RKM","FPDC",0.0173529913292348
"user_embeddings_64",3,"RKM","FPDC",0.0236947167161815
"user_embeddings_64",3,"RKM","FPDC",0.0258347820712739
"user_embeddings_64",3,"RKM","RKM",0.979649906900906
"user_embeddings_64",3,"RKM","FPDC",0.0358064535822346
"user_embeddings_64",3,"RKM","FPDC",0.0348145425922412
"user_embeddings_64",3,"RKM","FPDC",0.0172065340254352
"user_embeddings_64",3,"RKM","FPDC",0.015192184466664
"user_embeddings_64",3,"RKM","FPDC",0.0156463184346326
"user_embeddings_64",3,"RKM","FPDC",0.0166569656875123
"user_embeddings_64",3,"RKM","FPDC",0.0231944252875772
"user_embeddings_64",3,"RKM","FPDC",0.024987446079146
"user_embeddings_64",3,"RKM","FPDC",0.0385632634109847
"user_embeddings_64",3,"RKM","FPDC",0.0375644235978343
"user_embeddings_64",3,"RKM","FPDC",0.0183296939190252
"user_embeddings_64",3,"RKM","FPDC",0.0159396765025408
"user_embeddings_64",3,"RKM","FPDC",0.0166127963811432
"user_embeddings_64",3,"RKM","FPDC",0.0181895673384302
"user_embeddings_64",3,"RKM","FPDC",0.0247858041288135
"user_embeddings_64",3,"RKM","FPDC",0.0268426765986587
"user_embeddings_64",3,"FPDC","FPDC",0.944271192084443
"user_embeddings_64",3,"FPDC","FPDC",0.29688999865247
"user_embeddings_64",3,"FPDC","FPDC",0.296261376899351
"user_embeddings_64",3,"FPDC","FPDC",0.206912407232108
"user_embeddings_64",3,"FPDC","FPDC",0.182309580647594
