"method","embedding","embedding_dim","embedding_label","file","k","nf","nu","runtime_sec","silhouette","ch","prob_silh","wss","n_obs","status","model_id","elbow_distance","selection_primary","selection_secondary","selection_tertiary","elbow_k"
"KMeans","user_embeddings_64",64,"64-dimensional","/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/kmeans_user_embeddings_64_k4.rds",4,NA,NA,7.35366463661194,-0.0108456961016747,96.957507222613,NA,368727.17887242,6040,"ok","KMeans__user_embeddings_64__k4",1.04099036089181,"WSS elbow diagnostic","Silhouette","CH",4
"PD","user_embeddings_64",64,"64-dimensional","/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/pd_user_embeddings_64_k2.rds",2,NA,NA,0.287293910980225,0.00276874984944674,10.1368611984019,0.0932536020114262,NA,6040,"ok","PD__user_embeddings_64__k2",NA,"Probability silhouette","Silhouette","CH",NA
"RKM","user_embeddings_64",64,"64-dimensional","/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/rkm_user_embeddings_64_k2_nf2.rds",2,2,NA,278.899392366409,0.235123010161809,132.290509310172,NA,NA,6040,"ok","RKM__user_embeddings_64__k2__nf2",NA,"Silhouette over (k, q)","CH","Bootstrap stability",NA
"FPDC","user_embeddings_64",64,"64-dimensional","/content/drive/MyDrive/math252-project-colab-output/output/benchmark_results/fpdc_user_embeddings_64_k2_nf4_nu6.rds",2,4,6,241.741120815277,0.0117828686381743,70.5456811326737,0.142657897700551,NA,6040,"ok","FPDC__user_embeddings_64__k2__nf4__nu6",NA,"Probability silhouette over (k, q, nu)","Silhouette","CH",NA
"KMeans","user_embeddings_128",128,"128-dimensional","/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/kmeans_user_embeddings_128_k4.rds",4,NA,NA,12.7167797088623,-0.0098158967604663,91.2106349289915,NA,739469.398913772,6040,"ok","KMeans__user_embeddings_128__k4",1.12234803483158,"WSS elbow diagnostic","Silhouette","CH",4
"PD","user_embeddings_128",128,"128-dimensional","/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/pd_user_embeddings_128_k2.rds",2,NA,NA,0.184180974960327,-0.000100263451993729,0.920009504779618,0.0680478921273399,NA,6040,"ok","PD__user_embeddings_128__k2",NA,"Probability silhouette","Silhouette","CH",NA
"RKM","user_embeddings_128",128,"128-dimensional","/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/rkm_user_embeddings_128_k2_nf4.rds",2,4,NA,184.096231937408,0.330773228362899,139.519216185649,NA,NA,6040,"ok","RKM__user_embeddings_128__k2__nf4",NA,"Silhouette over (k, q)","CH","Bootstrap stability",NA
"FPDC","user_embeddings_128",128,"128-dimensional","/content/drive/MyDrive/math252-project-colab-output/output/benchmark_results/fpdc_user_embeddings_128_k4_nf2_nu6.rds",4,2,6,188.159778594971,-0.115003012095943,56.4322420466999,0.136285789263069,NA,6040,"ok","FPDC__user_embeddings_128__k4__nf2__nu6",NA,"Probability silhouette over (k, q, nu)","Silhouette","CH",NA
"KMeans","user_embeddings_256",256,"256-dimensional","/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/kmeans_user_embeddings_256_k4.rds",4,NA,NA,23.4549040794373,0.0255906257046033,74.77418796462,NA,1490587.63805867,6040,"ok","KMeans__user_embeddings_256__k4",1.26304830932814,"WSS elbow diagnostic","Silhouette","CH",4
"PD","user_embeddings_256",256,"256-dimensional","/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/pd_user_embeddings_256_k2.rds",2,NA,NA,0.258777379989624,-1.81748455036568e-05,1.06608806134381,0.0622255242606143,NA,6040,"ok","PD__user_embeddings_256__k2",NA,"Probability silhouette","Silhouette","CH",NA
"RKM","user_embeddings_256",256,"256-dimensional","/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/rkm_user_embeddings_256_k2_nf5.rds",2,5,NA,257.643930673599,0.289824223365742,111.2485390559,NA,NA,6040,"ok","RKM__user_embeddings_256__k2__nf5",NA,"Silhouette over (k, q)","CH","Bootstrap stability",NA
"FPDC","user_embeddings_256",256,"256-dimensional","/content/drive/MyDrive/math252-project-colab-output/output/benchmark_results/fpdc_user_embeddings_256_k6_nf3_nu10.rds",6,3,10,70.7382252216339,-0.20894602781993,33.9227687902489,0.148153985825171,NA,6040,"ok","FPDC__user_embeddings_256__k6__nf3__nu10",NA,"Probability silhouette over (k, q, nu)","Silhouette","CH",NA
