"Method","Embedding file","Embedding dimension","Number of clusters (k)","Reduced dimension (q)","Tuning parameter (nu)","Runtime (seconds)","Average silhouette width","Calinski-Harabasz index","Probability silhouette","Within-cluster sum of squares","Status"
"KMeans","user_embeddings_64",64,2,NA,NA,3.5763,0.2372,132.2814,NA,378210.1179,"ok"
"KMeans","user_embeddings_64",64,3,NA,NA,4.3777,0.1554,111.4703,NA,372731.383,"ok"
"KMeans","user_embeddings_64",64,4,NA,NA,7.3537,-0.0108,96.9575,NA,368727.1789,"ok"
"KMeans","user_embeddings_64",64,5,NA,NA,9.7987,-0.0104,85.1099,NA,365857.6506,"ok"
"KMeans","user_embeddings_64",64,6,NA,NA,11.6432,-0.0208,76.3926,NA,363486.6503,"ok"
"KMeans","user_embeddings_64",64,7,NA,NA,13.538,0.0371,70.1705,NA,361283.255,"ok"
"KMeans","user_embeddings_64",64,8,NA,NA,16.4648,0.0111,64.7092,NA,359499.8866,"ok"
"KMeans","user_embeddings_128",128,2,NA,NA,5.9505,0.3286,139.5118,NA,755534.8925,"ok"
"KMeans","user_embeddings_128",128,3,NA,NA,8.7329,0.2177,113.0191,NA,745094.0919,"ok"
"KMeans","user_embeddings_128",128,4,NA,NA,12.7168,-0.0098,91.2106,NA,739469.3989,"ok"
"KMeans","user_embeddings_128",128,5,NA,NA,17.2769,0.1951,79.2082,NA,734434.7607,"ok"
"KMeans","user_embeddings_128",128,6,NA,NA,23.2584,-0.0222,70.7889,NA,730161.9288,"ok"
"KMeans","user_embeddings_128",128,7,NA,NA,27.1013,-0.0017,63.1289,NA,727327.764,"ok"
"KMeans","user_embeddings_128",128,8,NA,NA,31.847,-0.0031,57.4693,NA,724662.9462,"ok"
"KMeans","user_embeddings_256",256,2,NA,NA,14.0304,0.2868,111.2408,NA,1518016.8855,"ok"
"KMeans","user_embeddings_256",256,3,NA,NA,18.4895,0.1731,91.7409,NA,1500383.058,"ok"
"KMeans","user_embeddings_256",256,4,NA,NA,23.4549,0.0256,74.7742,NA,1490587.6381,"ok"
"KMeans","user_embeddings_256",256,5,NA,NA,29.618,0.1422,64.847,NA,1482274.9601,"ok"
"KMeans","user_embeddings_256",256,6,NA,NA,36.9473,0.0533,57.0615,NA,1476185.1077,"ok"
"KMeans","user_embeddings_256",256,7,NA,NA,46.1187,-0.009,50.8743,NA,1471530.3568,"ok"
"KMeans","user_embeddings_256",256,8,NA,NA,57.2581,0.0904,46.0358,NA,1467580.7692,"ok"
"PD","user_embeddings_64",64,2,NA,NA,0.2873,0.0028,10.1369,0.0933,NA,"ok"
"PD","user_embeddings_64",64,3,NA,NA,0.3956,-0.0038,2.3371,0.0366,NA,"ok"
"PD","user_embeddings_64",64,4,NA,NA,0.5144,-0.0077,4.2748,0.0374,NA,"ok"
"PD","user_embeddings_64",64,5,NA,NA,0.6544,-0.008,2.4682,0.0256,NA,"ok"
"PD","user_embeddings_64",64,6,NA,NA,0.6801,-0.0189,2.9134,0.0208,NA,"ok"
"PD","user_embeddings_64",64,7,NA,NA,1.1302,-0.0338,2.0373,0.0172,NA,"ok"
"PD","user_embeddings_64",64,8,NA,NA,1.0699,-0.0412,2.2874,0.0185,NA,"ok"
"PD","user_embeddings_128",128,2,NA,NA,0.1842,-1e-04,0.92,0.068,NA,"ok"
"PD","user_embeddings_128",128,3,NA,NA,0.3676,-0.0023,1.1573,0.0314,NA,"ok"
"PD","user_embeddings_128",128,4,NA,NA,0.4788,-0.0078,1.0594,0.0283,NA,"ok"
"PD","user_embeddings_128",128,5,NA,NA,0.5803,-0.0034,1.0038,0.0233,NA,"ok"
"PD","user_embeddings_128",128,6,NA,NA,0.6565,-0.0183,1.1625,0.0178,NA,"ok"
"PD","user_embeddings_128",128,7,NA,NA,0.6947,-0.0127,1.0092,0.0179,NA,"ok"
"PD","user_embeddings_128",128,8,NA,NA,0.8028,-0.0333,1.1206,0.0135,NA,"ok"
"PD","user_embeddings_256",256,2,NA,NA,0.2588,0,1.0661,0.0622,NA,"ok"
"PD","user_embeddings_256",256,3,NA,NA,0.8689,-0.0037,1.0011,0.029,NA,"ok"
"PD","user_embeddings_256",256,4,NA,NA,0.6262,-0.0052,0.9255,0.0176,NA,"ok"
"PD","user_embeddings_256",256,5,NA,NA,0.7247,-0.0211,1.0642,0.0203,NA,"ok"
"PD","user_embeddings_256",256,6,NA,NA,0.8484,-0.0125,1.015,0.0163,NA,"ok"
"PD","user_embeddings_256",256,7,NA,NA,0.9216,-0.0169,0.958,0.0136,NA,"ok"
"PD","user_embeddings_256",256,8,NA,NA,1.0466,-0.0163,0.8889,0.009,NA,"ok"
"RKM","user_embeddings_64",64,2,2,NA,278.8994,0.2351,132.2905,NA,NA,"ok"
"RKM","user_embeddings_64",64,2,3,NA,305.4829,0.2314,132.2928,NA,NA,"ok"
"RKM","user_embeddings_64",64,2,4,NA,318.6255,0.2323,132.2964,NA,NA,"ok"
"RKM","user_embeddings_64",64,2,5,NA,340.7442,0.2321,132.306,NA,NA,"ok"
"RKM","user_embeddings_64",64,3,2,NA,298.5606,0.1524,111.487,NA,NA,"ok"
"RKM","user_embeddings_64",64,3,3,NA,313.9932,0.1509,111.4929,NA,NA,"ok"
"RKM","user_embeddings_64",64,3,4,NA,341.7347,0.1543,111.4937,NA,NA,"ok"
"RKM","user_embeddings_64",64,3,5,NA,370.5452,0.1545,111.4774,NA,NA,"ok"
"RKM","user_embeddings_64",64,4,2,NA,759.255,-0.0107,96.5603,NA,NA,"ok"
"RKM","user_embeddings_64",64,4,3,NA,714.0378,-0.0112,96.9329,NA,NA,"ok"
"RKM","user_embeddings_64",64,4,4,NA,723.8127,-0.0102,96.9371,NA,NA,"ok"
"RKM","user_embeddings_64",64,4,5,NA,831.785,-0.0114,96.9621,NA,NA,"ok"
"RKM","user_embeddings_64",64,5,2,NA,773.6427,0.0522,81.6282,NA,NA,"ok"
"RKM","user_embeddings_64",64,5,3,NA,1083.506,-0.0122,84.8734,NA,NA,"ok"
"RKM","user_embeddings_64",64,5,4,NA,867.2349,-0.0115,85.1944,NA,NA,"ok"
"RKM","user_embeddings_64",64,5,5,NA,959.5407,-0.0114,85.2323,NA,NA,"ok"
"RKM","user_embeddings_64",64,6,2,NA,800.8167,0.0563,71.8059,NA,NA,"ok"
"RKM","user_embeddings_64",64,6,3,NA,1233.8086,0.0389,75.032,NA,NA,"ok"
"RKM","user_embeddings_64",64,6,4,NA,1092.0959,-0.0211,76.3859,NA,NA,"ok"
"RKM","user_embeddings_64",64,6,5,NA,981.9826,-0.0184,76.7878,NA,NA,"ok"
"RKM","user_embeddings_64",64,7,2,NA,1424.2589,-0.022,64.3057,NA,NA,"ok"
"RKM","user_embeddings_64",64,7,3,NA,2306.8791,0.0364,68.0035,NA,NA,"ok"
"RKM","user_embeddings_64",64,7,4,NA,1435.2528,0.0207,69.7291,NA,NA,"ok"
"RKM","user_embeddings_64",64,7,5,NA,997.1297,0.0242,70.2059,NA,NA,"ok"
"RKM","user_embeddings_64",64,8,2,NA,1252.8375,-0.0519,58.0567,NA,NA,"ok"
"RKM","user_embeddings_64",64,8,3,NA,1595.3702,0.0277,62.3074,NA,NA,"ok"
"RKM","user_embeddings_64",64,8,4,NA,1064.5082,0.0185,64.2221,NA,NA,"ok"
"RKM","user_embeddings_64",64,8,5,NA,707.8767,-0.0014,64.8297,NA,NA,"ok"
"RKM","user_embeddings_128",128,2,2,NA,165.9477,0.3305,139.5193,NA,NA,"ok"
"RKM","user_embeddings_128",128,2,3,NA,184.3817,0.3305,139.5193,NA,NA,"ok"
"RKM","user_embeddings_128",128,2,4,NA,184.0962,0.3308,139.5192,NA,NA,"ok"
"RKM","user_embeddings_128",128,2,5,NA,201.6674,0.3302,139.5175,NA,NA,"ok"
"RKM","user_embeddings_128",128,3,2,NA,186.8505,0.2166,113.0299,NA,NA,"ok"
"RKM","user_embeddings_128",128,3,3,NA,199.6189,0.213,113.0287,NA,NA,"ok"
"RKM","user_embeddings_128",128,3,4,NA,218.6044,0.2153,113.027,NA,NA,"ok"
"RKM","user_embeddings_128",128,3,5,NA,239.2143,0.2099,113.0268,NA,NA,"ok"
"RKM","user_embeddings_128",128,4,2,NA,448.5389,-0.0124,90.8259,NA,NA,"ok"
"RKM","user_embeddings_128",128,4,3,NA,421.8316,-0.011,91.2682,NA,NA,"ok"
"RKM","user_embeddings_128",128,4,4,NA,452.0203,-0.0088,91.2051,NA,NA,"ok"
"RKM","user_embeddings_128",128,4,5,NA,471.5122,-0.0116,91.2121,NA,NA,"ok"
"RKM","user_embeddings_128",128,5,2,NA,646.9294,0.1361,78.327,NA,NA,"ok"
"RKM","user_embeddings_128",128,5,3,NA,522.9104,0.1302,78.9591,NA,NA,"ok"
"RKM","user_embeddings_128",128,5,4,NA,555.8602,0.1316,79.1935,NA,NA,"ok"
"RKM","user_embeddings_128",128,5,5,NA,628.5934,0.1499,79.2514,NA,NA,"ok"
"RKM","user_embeddings_128",128,6,2,NA,843.1875,0.0898,68.2874,NA,NA,"ok"
"RKM","user_embeddings_128",128,6,3,NA,1254.2549,-0.0192,70.1182,NA,NA,"ok"
"RKM","user_embeddings_128",128,6,4,NA,935.6136,-0.0229,70.8591,NA,NA,"ok"
"RKM","user_embeddings_128",128,6,5,NA,978.8961,-0.0198,71.0125,NA,NA,"ok"
"RKM","user_embeddings_128",128,7,2,NA,1108.9964,0.0865,60.6443,NA,NA,"ok"
"RKM","user_embeddings_128",128,7,3,NA,2274.9534,-0.0367,62.5117,NA,NA,"ok"
"RKM","user_embeddings_128",128,7,4,NA,753.7168,-0.0221,63.4442,NA,NA,"ok"
"RKM","user_embeddings_128",128,7,5,NA,640.249,-0.0306,63.9055,NA,NA,"ok"
"RKM","user_embeddings_128",128,8,2,NA,1169.9446,-0.0459,54.9875,NA,NA,"ok"
"RKM","user_embeddings_128",128,8,3,NA,1874.7152,-0.0422,56.7488,NA,NA,"ok"
"RKM","user_embeddings_128",128,8,4,NA,1570.9577,-0.0508,57.7202,NA,NA,"ok"
"RKM","user_embeddings_128",128,8,5,NA,645.199,-0.0474,58.0839,NA,NA,"ok"
"RKM","user_embeddings_256",256,2,2,NA,214.5224,0.2894,111.2459,NA,NA,"ok"
"RKM","user_embeddings_256",256,2,3,NA,228.5026,0.2894,111.2459,NA,NA,"ok"
"RKM","user_embeddings_256",256,2,4,NA,228.7383,0.2896,111.2483,NA,NA,"ok"
"RKM","user_embeddings_256",256,2,5,NA,257.6439,0.2898,111.2485,NA,NA,"ok"
"RKM","user_embeddings_256",256,3,2,NA,301.5595,0.1781,91.7602,NA,NA,"ok"
"RKM","user_embeddings_256",256,3,3,NA,323.9108,0.18,91.7504,NA,NA,"ok"
"RKM","user_embeddings_256",256,3,4,NA,325.8084,0.1775,91.7504,NA,NA,"ok"
"RKM","user_embeddings_256",256,3,5,NA,333.5604,0.1787,91.7567,NA,NA,"ok"
"RKM","user_embeddings_256",256,4,2,NA,394.8333,0.1508,74.0543,NA,NA,"ok"
"RKM","user_embeddings_256",256,4,3,NA,561.49,0.0198,74.8151,NA,NA,"ok"
"RKM","user_embeddings_256",256,4,4,NA,579.8816,0.032,74.8034,NA,NA,"ok"
"RKM","user_embeddings_256",256,4,5,NA,602.7478,0.0307,74.7948,NA,NA,"ok"
"RKM","user_embeddings_256",256,5,2,NA,865.3507,0.1179,64.122,NA,NA,"ok"
"RKM","user_embeddings_256",256,5,3,NA,553.9056,0.1309,64.7599,NA,NA,"ok"
"RKM","user_embeddings_256",256,5,4,NA,691.45,0.1187,64.9717,NA,NA,"ok"
"RKM","user_embeddings_256",256,5,5,NA,705.9614,0.1188,64.9924,NA,NA,"ok"
"RKM","user_embeddings_256",256,6,2,NA,787.2146,0.1237,56.6111,NA,NA,"ok"
"RKM","user_embeddings_256",256,6,3,NA,1073.7157,0.1125,57.2032,NA,NA,"ok"
"RKM","user_embeddings_256",256,6,4,NA,876.5838,0.1127,57.4085,NA,NA,"ok"
"RKM","user_embeddings_256",256,6,5,NA,644.4816,0.1151,57.53,NA,NA,"ok"
"RKM","user_embeddings_256",256,7,2,NA,1302.6136,-0.028,50.3554,NA,NA,"ok"
"RKM","user_embeddings_256",256,7,3,NA,1850.1888,-0.0215,51.217,NA,NA,"ok"
"RKM","user_embeddings_256",256,7,4,NA,950.0042,-0.0448,51.6699,NA,NA,"ok"
