"Method","Embedding","k","q","nu","Runtime_sec","Silhouette","CH","ProbSilh","WSS","Elbow_k"
"KMeans",64,4,NA,NA,7.35,-0.011,96.96,NA,368727.18,4
"PD",64,2,NA,NA,0.29,0.003,10.14,0.093,NA,NA
"RKM",64,2,2,NA,278.9,0.235,132.29,NA,NA,NA
"FPDC",64,2,4,6,241.74,0.012,70.55,0.143,NA,NA
"KMeans",128,4,NA,NA,12.72,-0.01,91.21,NA,739469.4,4
"PD",128,2,NA,NA,0.18,0,0.92,0.068,NA,NA
"RKM",128,2,4,NA,184.1,0.331,139.52,NA,NA,NA
"FPDC",128,4,2,6,188.16,-0.115,56.43,0.136,NA,NA
"KMeans",256,4,NA,NA,23.45,0.026,74.77,NA,1490587.64,4
"PD",256,2,NA,NA,0.26,0,1.07,0.062,NA,NA
"RKM",256,2,5,NA,257.64,0.29,111.25,NA,NA,NA
"FPDC",256,6,3,10,70.74,-0.209,33.92,0.148,NA,NA
