"method","embedding","embedding_dim","k","nf","nu","runtime_sec","silhouette","ch","prob_silh","wss","elbow_k","elbow_distance","selection_primary","selection_secondary","selection_tertiary"
"KMeans","user_embeddings_64",64,4,NA,NA,7.35,-0.0108,96.9575,NA,368727.1789,4,1.041,"WSS elbow diagnostic","Silhouette","CH"
"PD","user_embeddings_64",64,2,NA,NA,0.29,0.0028,10.1369,0.0933,NA,NA,NA,"Probability silhouette","Silhouette","CH"
"RKM","user_embeddings_64",64,2,2,NA,278.9,0.2351,132.2905,NA,NA,NA,NA,"Silhouette over (k, q)","CH","Bootstrap stability"
"FPDC","user_embeddings_64",64,2,4,6,241.74,0.0118,70.5457,0.1427,NA,NA,NA,"Probability silhouette over (k, q, nu)","Silhouette","CH"
"KMeans","user_embeddings_128",128,4,NA,NA,12.72,-0.0098,91.2106,NA,739469.3989,4,1.1223,"WSS elbow diagnostic","Silhouette","CH"
"PD","user_embeddings_128",128,2,NA,NA,0.18,-1e-04,0.92,0.068,NA,NA,NA,"Probability silhouette","Silhouette","CH"
"RKM","user_embeddings_128",128,2,4,NA,184.1,0.3308,139.5192,NA,NA,NA,NA,"Silhouette over (k, q)","CH","Bootstrap stability"
"FPDC","user_embeddings_128",128,4,2,6,188.16,-0.115,56.4322,0.1363,NA,NA,NA,"Probability silhouette over (k, q, nu)","Silhouette","CH"
"KMeans","user_embeddings_256",256,4,NA,NA,23.45,0.0256,74.7742,NA,1490587.6381,4,1.263,"WSS elbow diagnostic","Silhouette","CH"
"PD","user_embeddings_256",256,2,NA,NA,0.26,0,1.0661,0.0622,NA,NA,NA,"Probability silhouette","Silhouette","CH"
"RKM","user_embeddings_256",256,2,5,NA,257.64,0.2898,111.2485,NA,NA,NA,NA,"Silhouette over (k, q)","CH","Bootstrap stability"
"FPDC","user_embeddings_256",256,6,3,10,70.74,-0.2089,33.9228,0.1482,NA,NA,NA,"Probability silhouette over (k, q, nu)","Silhouette","CH"
