UserID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
1,0.48935366,0.42521167,0.4847223,0.4676651,0.4678172,0.5144325,0.4693244,0.593538,0.3489769,0.5351319,0.5563404,0.37432232,0.5470427,0.5146086,0.51264125,0.47971612,0.5090829,0.6105659,0.42213035,0.5680032,0.47246507,0.46330655,0.47941577,0.48884082,0.58621347,0.5456645,0.48577058,0.5613997,0.45776767,0.59162855,0.45316726,0.52195835,0.4990169,0.45755097,0.505714,0.4349321,0.4642675,0.4056049,0.58603305,0.4312978,0.46846324,0.62328655,0.52846855,0.56893575,0.3948717,0.42023772,0.43783268,0.46090978,0.57073736,0.5759709,0.41167974,0.43157047,0.42648458,0.50181854,0.5861412,0.47997096,0.6085925,0.43471354,0.5197127,0.5491719,0.5337047,0.40438297,0.48863316,0.5217371
2,0.482309,0.4318199,0.48639706,0.46601772,0.46598274,0.511782,0.46302724,0.5926167,0.35087603,0.534926,0.55432117,0.37865475,0.5539499,0.5194426,0.5174289,0.4790281,0.5111825,0.61329633,0.42276633,0.56735456,0.47429907,0.4663759,0.48056346,0.49240154,0.58945674,0.5533923,0.48206612,0.5597821,0.45318386,0.5878748,0.45279545,0.5207287,0.49320018,0.46134812,0.5107999,0.4379445,0.46098882,0.40470064,0.58287096,0.43221828,0.46351954,0.6278342,0.5296174,0.5676877,0.3902307,0.4181671,0.43715212,0.45813233,0.5692818,0.5704114,0.41345808,0.43518615,0.4294024,0.5038498,0.57623345,0.48158258,0.6091761,0.4371042,0.51516336,0.5533657,0.5385908,0.41233823,0.4852115,0.5161125
3,0.49107125,0.4314903,0.48468795,0.46714693,0.46731868,0.5139394,0.4651568,0.5926571,0.34903872,0.53656304,0.5527447,0.37638354,0.54798055,0.51741487,0.5105632,0.47763783,0.50892985,0.6139453,0.4183625,0.56636703,0.4756519,0.46763182,0.47584087,0.49235466,0.5852703,0.5462221,0.4809154,0.5607554,0.45706058,0.59160155,0.45059034,0.5273252,0.5039174,0.45771176,0.5112051,0.43496284,0.4626576,0.4047812,0.5866348,0.43313792,0.46562663,0.62369704,0.5280917,0.5668223,0.39060754,0.42033732,0.43749574,0.4588696,0.56904995,0.5712958,0.41091666,0.43069696,0.42184255,0.5025435,0.5854836,0.4723443,0.6064132,0.43561164,0.5191516,0.5514062,0.53773147,0.40774366,0.4887639,0.5236152
4,0.4889076,0.4296142,0.48627007,0.4667824,0.46538657,0.5130704,0.4672276,0.5897747,0.34961605,0.5345076,0.55551285,0.37116855,0.5489324,0.5171491,0.5137283,0.47643563,0.51113087,0.6138378,0.42310566,0.56552494,0.47346926,0.46489725,0.4764902,0.48825985,0.5872378,0.5455214,0.4855637,0.56160444,0.4574644,0.58864915,0.45271274,0.5212005,0.501764,0.45712402,0.5096283,0.43505383,0.46226805,0.40420243,0.5813735,0.43239865,0.46831092,0.62649775,0.529739,0.5698001,0.3919289,0.41851535,0.438402,0.46244958,0.56723624,0.5728773,0.41192034,0.43396178,0.4265806,0.49960613,0.5821175,0.47723642,0.6070181,0.4377871,0.51874256,0.5506801,0.53731984,0.4071167,0.4881431,0.5228701
5,0.49031413,0.42319116,0.48929393,0.47170812,0.46361843,0.50056237,0.46514833,0.5956866,0.34740344,0.5433815,0.5614574,0.37484652,0.5530391,0.5268986,0.50971055,0.4905114,0.50358063,0.6197326,0.42513627,0.5618582,0.48061863,0.46743837,0.47606862,0.48240998,0.58982176,0.5448449,0.48218578,0.5568482,0.46665245,0.59746873,0.43297696,0.5285913,0.5080392,0.4575371,0.51717955,0.4239506,0.46712628,0.40014043,0.5768443,0.44684878,0.465798,0.6140784,0.5198247,0.56783915,0.38988253,0.41362697,0.44030657,0.46285862,0.5617964,0.57389027,0.41504246,0.43290848,0.4257941,0.4969515,0.5906502,0.46590114,0.6091068,0.44069222,0.5170064,0.5553664,0.5338799,0.39951178,0.48860425,0.52366555
6,0.4891704,0.42292175,0.48797873,0.46851614,0.4670068,0.50893605,0.46729538,0.5899589,0.35421503,0.53114897,0.5539655,0.37573215,0.55268687,0.5138215,0.5088573,0.47994778,0.50879866,0.61193454,0.4201847,0.57018507,0.47264078,0.46783766,0.4786234,0.4859111,0.58863854,0.5443506,0.4842189,0.55781096,0.45230013,0.59090203,0.45158195,0.51959753,0.49755383,0.4583533,0.5083527,0.43029195,0.46671918,0.4043631,0.58420515,0.43411738,0.46647432,0.62321526,0.53455085,0.56765586,0.38809997,0.41826203,0.437319,0.4566623,0.5735991,0.57414675,0.41474015,0.4341567,0.4231422,0.5033798,0.5845605,0.48044512,0.60812795,0.4404907,0.52133304,0.5471832,0.53525597,0.40608796,0.485927,0.51816
7,0.48958385,0.42895246,0.4888293,0.46631813,0.4684173,0.5144194,0.46906966,0.5922297,0.3484678,0.5350489,0.5562533,0.37286872,0.54875296,0.51615816,0.5154274,0.47522527,0.5105842,0.6155871,0.42346776,0.56802696,0.47565597,0.46569273,0.4786678,0.48691925,0.58833915,0.5434016,0.48379183,0.5621192,0.45699567,0.5910723,0.4492218,0.5225893,0.5008095,0.46002242,0.50935334,0.43391114,0.4628938,0.40146494,0.5886782,0.43258604,0.46576628,0.625418,0.5258632,0.56680685,0.3933296,0.41626555,0.4372034,0.46323675,0.5655281,0.57705164,0.4152641,0.4305008,0.43173894,0.5032194,0.58108807,0.47761098,0.6055115,0.43436173,0.5179686,0.5534694,0.5414313,0.40546843,0.48915407,0.5212883
8,0.49011934,0.4296668,0.48388606,0.4611067,0.4660048,0.5120402,0.46423945,0.5910839,0.34793544,0.53875685,0.55906236,0.37848902,0.5511495,0.52010703,0.5121901,0.4725314,0.5117749,0.61166567,0.4204267,0.57034826,0.4714853,0.46156317,0.47759095,0.4909087,0.5859526,0.5490733,0.48158497,0.5667652,0.46019787,0.5903783,0.44899392,0.5226064,0.49416727,0.46068886,0.50686055,0.43826178,0.46696272,0.40403193,0.5881858,0.4412922,0.46173656,0.6265903,0.5277318,0.57744616,0.39411393,0.41651413,0.43179893,0.46723363,0.5658203,0.57196146,0.41177502,0.44184613,0.42449433,0.50388193,0.5782206,0.48253098,0.60953295,0.4370783,0.5209323,0.5514091,0.531428,0.40180528,0.486759,0.52065367
9,0.48826393,0.42831492,0.4851033,0.47188452,0.46560356,0.5100786,0.47041386,0.5946325,0.35272783,0.5358692,0.55589736,0.37767398,0.54707855,0.5184741,0.5102221,0.47718495,0.5131438,0.617783,0.42253745,0.57298523,0.47036237,0.46384865,0.47770822,0.49346542,0.5884611,0.54323614,0.48023957,0.56435055,0.45696932,0.5935306,0.44995594,0.5224493,0.5034496,0.46127465,0.5078557,0.43887237,0.46302366,0.40219945,0.5862855,0.43329328,0.46871555,0.6287456,0.5298782,0.5722493,0.39280638,0.4186981,0.43648088,0.4641224,0.56375086,0.57300943,0.41418025,0.43402237,0.42909306,0.49920684,0.57642937,0.4815429,0.608625,0.43845937,0.52235067,0.5513023,0.53271234,0.40453658,0.48511103,0.5199692
10,0.49730068,0.4308754,0.4851084,0.4595166,0.47735,0.51809114,0.46347407,0.5822639,0.35161704,0.53326356,0.54459816,0.37776726,0.5408803,0.51926357,0.50104296,0.48222962,0.5042911,0.6152381,0.42768076,0.5743195,0.46648902,0.46571848,0.47850332,0.47491908,0.59165645,0.5561836,0.48591787,0.56682295,0.4503497,0.58923155,0.4409315,0.5234879,0.49378365,0.4608708,0.51014054,0.44013238,0.47154826,0.40897417,0.5890849,0.4442678,0.4600752,0.62423986,0.5314184,0.57077825,0.3808926,0.4123167,0.42954186,0.44948032,0.5660418,0.57162184,0.42157945,0.43996868,0.42429894,0.50202173,0.5836855,0.47355264,0.6002866,0.42892036,0.516155,0.54520726,0.5259801,0.40499058,0.48918608,0.51472193
11,0.48652902,0.41953805,0.49131155,0.46501884,0.466314,0.51097393,0.45581725,0.59839183,0.35158738,0.5253058,0.5527047,0.38143048,0.55029446,0.5113844,0.5120711,0.47493824,0.5050436,0.6088024,0.42913195,0.56371546,0.47569844,0.46616337,0.4792155,0.48566192,0.5807103,0.5362324,0.48500127,0.5558598,0.4491936,0.5837496,0.4505317,0.5175222,0.50629807,0.46042538,0.5117527,0.43133983,0.46080932,0.40533158,0.58827585,0.4349467,0.46521112,0.6284171,0.5238635,0.57398885,0.39537215,0.41645426,0.43266645,0.46482575,0.56110364,0.56825525,0.42118707,0.44247863,0.4296838,0.5073665,0.58192956,0.47758117,0.61070156,0.4361782,0.5183725,0.53910214,0.5387927,0.41015065,0.49372047,0.53088915
12,0.49011967,0.42677414,0.48807424,0.4669067,0.46566746,0.5132637,0.46454626,0.5917413,0.3510781,0.53324,0.55309314,0.37337944,0.5493331,0.5176122,0.5132503,0.4777707,0.5103151,0.61543804,0.4219581,0.56557393,0.47244108,0.46479493,0.48001188,0.48604533,0.58538944,0.54579383,0.4851761,0.5603921,0.45623556,0.5904212,0.4505976,0.52014995,0.50323075,0.4583115,0.5085232,0.43358853,0.4650958,0.40394026,0.5848322,0.43506312,0.46513334,0.62623686,0.53047144,0.5703616,0.3911903,0.41970026,0.43879193,0.46038017,0.56875086,0.573882,0.41452876,0.4322219,0.4266689,0.50182986,0.58213854,0.47749808,0.6059673,0.43644235,0.5186573,0.550968,0.5379157,0.40482086,0.48928094,0.5238626
13,0.4872937,0.42756495,0.48372433,0.4643119,0.46908146,0.51449186,0.4646321,0.5941486,0.34962758,0.53423995,0.5533297,0.3752965,0.552307,0.51450986,0.5168218,0.47858286,0.51109856,0.61402947,0.42081556,0.5666025,0.473415,0.4641298,0.4830222,0.48711255,0.5853779,0.54737324,0.48088297,0.560738,0.4598812,0.5891258,0.44987053,0.5205558,0.5022591,0.45685524,0.5117817,0.43769854,0.46413547,0.40513316,0.5834136,0.43533647,0.4640664,0.6304553,0.5278624,0.5691447,0.39262885,0.42130393,0.4383438,0.46078098,0.5665482,0.56862557,0.41496015,0.435468,0.42709547,0.50091016,0.5805741,0.47809651,0.6062518,0.4352787,0.5196089,0.5507466,0.539065,0.40597504,0.49175242,0.52034605
14,0.4900118,0.42845753,0.4831873,0.46371463,0.46493894,0.50970125,0.4687919,0.5927515,0.3503081,0.532525,0.5601378,0.3737736,0.5481954,0.5173505,0.51278424,0.47968858,0.5061754,0.6179713,0.42272258,0.56882054,0.47052878,0.46685275,0.47933206,0.49006,0.5878748,0.5453445,0.48408934,0.5576113,0.45612225,0.58888006,0.45485333,0.52494687,0.50082,0.4559565,0.5055727,0.43933937,0.4641853,0.4059573,0.58568215,0.43301326,0.46787357,0.62726367,0.52800983,0.56989396,0.3910233,0.41994774,0.44372028,0.46197975,0.56761986,0.5770822,0.41432923,0.43535057,0.42858925,0.504776,0.58186775,0.47627616,0.60406977,0.4356356,0.520989,0.5523306,0.53747314,0.41003302,0.48909926,0.5192034
15,0.49036917,0.4249561,0.48893648,0.46616393,0.46723264,0.5093405,0.46119508,0.59537345,0.34760895,0.5375275,0.5548106,0.37872255,0.5514001,0.52337945,0.5065828,0.47546867,0.50420856,0.6148809,0.4172133,0.56667346,0.46907097,0.46434212,0.476746,0.48359057,0.58702815,0.5407612,0.48204195,0.5579809,0.455546,0.5848212,0.45293647,0.5240513,0.5049334,0.458738,0.5041919,0.43427914,0.4647333,0.4044719,0.5807994,0.4326277,0.4697887,0.6228566,0.5205796,0.57014155,0.39304635,0.4197368,0.43536273,0.46083063,0.5727392,0.5682182,0.4142,0.43211007,0.42865887,0.5022521,0.5802635,0.4757293,0.6055386,0.4351858,0.5231467,0.55167335,0.52869517,0.4090357,0.48505482,0.52640635
16,0.48532435,0.43009406,0.48549524,0.46843874,0.46547243,0.51568913,0.4624473,0.5901412,0.34981433,0.5400842,0.55711985,0.37581006,0.5472117,0.5180904,0.51015675,0.47543368,0.508781,0.6152227,0.4206271,0.5658295,0.47375548,0.46690834,0.47842395,0.48497194,0.58620554,0.5444785,0.4844904,0.55966675,0.46188554,0.5911729,0.4521531,0.5228705,0.49713498,0.45826486,0.5074388,0.43353027,0.46439016,0.40163943,0.5863496,0.43317506,0.46671227,0.6267148,0.53180856,0.5685949,0.3922063,0.421809,0.43965736,0.4618672,0.5703065,0.5724188,0.4129654,0.43336794,0.42716444,0.4998512,0.5819094,0.47816274,0.6088847,0.4343713,0.52231324,0.55170804,0.5343283,0.40342116,0.48493364,0.5196325
17,0.48884228,0.42633837,0.48257595,0.47609213,0.4708678,0.51721114,0.46659425,0.5907647,0.3539435,0.53798765,0.5640796,0.37308955,0.550394,0.5187823,0.507111,0.47428915,0.5079479,0.611047,0.42356217,0.5631061,0.46477485,0.4640347,0.47445306,0.48999584,0.5879357,0.539572,0.4826127,0.560602,0.45673564,0.59006387,0.45031402,0.52380145,0.5026766,0.45971933,0.51135755,0.43538374,0.46025825,0.3977149,0.5880232,0.4350695,0.47207215,0.62856674,0.52717346,0.5714233,0.39635974,0.41214985,0.43483242,0.46146822,0.5670744,0.58207,0.40961453,0.4348041,0.43531248,0.5007334,0.58009714,0.48010376,0.6066037,0.43756983,0.520593,0.55261326,0.5324514,0.4128228,0.48785782,0.5244094
18,0.48994207,0.41899675,0.48149523,0.45893833,0.4746662,0.50948745,0.4656959,0.5870926,0.3531047,0.5360648,0.5597246,0.36686748,0.5473263,0.5136093,0.51348126,0.46998394,0.50558054,0.62323016,0.41425508,0.57132417,0.4769165,0.4714852,0.47518423,0.4761006,0.5781095,0.5483663,0.49740312,0.55995494,0.45018554,0.5971999,0.44380337,0.52364707,0.5055375,0.4546401,0.5014886,0.43821684,0.4603342,0.40648782,0.5897486,0.4318587,0.47117832,0.6235792,0.519886,0.57963055,0.39357424,0.41443035,0.4427154,0.46185735,0.57289857,0.570278,0.41408792,0.43341556,0.43236068,0.49775356,0.57418185,0.48444808,0.5972246,0.43313885,0.51928306,0.55556023,0.5330882,0.40290013,0.48331186,0.51667005
19,0.48978102,0.42506936,0.49055773,0.45812923,0.4632293,0.52234256,0.46692654,0.5972103,0.3571787,0.5364248,0.5514258,0.37437087,0.55035555,0.5222178,0.51585436,0.47516474,0.5111191,0.617178,0.4162781,0.5656543,0.4720063,0.4614468,0.48125103,0.48007995,0.5865181,0.53940165,0.47957122,0.5619822,0.45681226,0.5837469,0.4455478,0.5215791,0.4998761,0.45589745,0.50520283,0.43015298,0.47143146,0.40205,0.59109926,0.43055442,0.4699932,0.62098205,0.5240652,0.563356,0.39210257,0.42131093,0.43853265,0.4635347,0.5708369,0.567351,0.4078334,0.42425042,0.4257664,0.50205564,0.58002096,0.48095524,0.6099791,0.4349524,0.5256047,0.55562085,0.53451437,0.40885773,0.4962069,0.515991
20,0.48954841,0.42809188,0.4875587,0.46640152,0.46782202,0.5126311,0.46642557,0.59260684,0.35025373,0.535374,0.5562795,0.37729344,0.5498576,0.5167854,0.51190317,0.47468355,0.50885695,0.61521065,0.42086184,0.5639618,0.47511092,0.46677867,0.47777897,0.48679075,0.5873153,0.54322475,0.48359364,0.5596562,0.45758542,0.58918005,0.45070162,0.523021,0.5000679,0.45672855,0.5071925,0.43630102,0.46430907,0.4043364,0.5858426,0.43492252,0.46374336,0.62458324,0.53018254,0.5705109,0.39280006,0.41865146,0.43850902,0.46014136,0.56917226,0.57239,0.41334468,0.43572712,0.42693523,0.5042761,0.5806946,0.47746795,0.60506064,0.43514565,0.5171954,0.55255365,0.53714687,0.40438777,0.49054536,0.51912624
