"Algorithm","k","WSS","Silhouette","CH"
"Hartigan-Wong",2,755533.974606103,0.330489065304047,139.519281556154
"Hartigan-Wong",3,745089.423151391,0.215999695084593,113.03868448613
"Hartigan-Wong",4,739468.284021225,-0.00847111514480318,91.2138059289079
"Hartigan-Wong",5,734378.17098814,0.168039468932422,79.3305368040198
"Hartigan-Wong",6,729988.538499449,-0.0272213899387961,71.09231803221
"Hartigan-Wong",7,726592.699210906,-0.0324334460725799,64.2099720986753
"Hartigan-Wong",8,723603.890152034,-0.0445804777674226,58.814553624738
"Hartigan-Wong",9,721057.01029769,-0.0498925225174071,54.2987444857702
"Hartigan-Wong",10,719042.466290465,-0.0579881431739567,50.2698926418976
"Hartigan-Wong",11,716769.600827567,-0.0606431466531413,47.2906278697109
"Hartigan-Wong",12,714563.234992814,-0.0672706285306441,44.8091388640518
"Hartigan-Wong",13,712714.455858393,-0.0519174207934286,42.477595755596
"Hartigan-Wong",14,711226.650519783,-0.0703539988437817,40.2552618824391
"Hartigan-Wong",15,709247.154793822,-0.0447664410763717,38.6791110396163
"Hartigan-Wong",16,707348.685245128,-0.0752597549798091,37.2692503081709
"Hartigan-Wong",17,705507.547347309,-0.0726349133096714,36.0076639023411
"Hartigan-Wong",18,704038.023278926,-0.0717233510697039,34.6940526175167
"Hartigan-Wong",19,702667.693772573,-0.0686552086900523,33.4773900117393
"Hartigan-Wong",20,701046.656654169,-0.0708044673910872,32.5161154870462
"Lloyd",2,755536.254534094,0.33442923418957,139.500640095714
"Lloyd",3,745100.626977983,0.231941098002662,112.991596596076
"Lloyd",4,739501.467643559,-0.0124199755108154,91.1194284926748
"Lloyd",5,734535.86747162,0.118906328804534,78.9895940029771
"Lloyd",6,730589.183845727,-0.0330299780844055,70.0417138200928
"Lloyd",7,726960.377432001,-0.00820940705985317,63.6689397785717
"Lloyd",8,724550.435205328,-0.0444391248091442,57.6119844494905
"Lloyd",9,723143.492123487,-0.0288183402254803,51.9669253539943
"Lloyd",10,721412.607889508,-0.0589368566022869,47.9035053395152
"Lloyd",11,719329.180905781,0.032347785392714,44.9770626449054
"Lloyd",12,717907.184421375,-0.0666742757837689,42.0478852867528
"Lloyd",13,716945.851889517,-0.0538596844768426,39.2626274554794
"Lloyd",14,714886.271686608,-0.0414570129787703,37.676258414386
"Lloyd",15,713074.684740682,-0.0635659909942186,36.1614921332515
"Lloyd",16,712413.102810806,-0.0523060912844443,34.1494071560333
"Lloyd",17,710637.910939078,-0.0591109325663251,33.0300664227901
"Lloyd",18,709211.363025044,-0.0591165423741453,31.8570088914887
"Lloyd",19,707670.082305114,-0.0699510272739273,30.8762261049205
"Lloyd",20,705746.368143445,-0.0662902866517852,30.1896666124274
"MacQueen",2,755537.064861812,0.334330486254863,139.494014610078
"MacQueen",3,745097.388993373,0.209458233036745,113.005205181647
"MacQueen",4,739521.716593642,-0.00780935350521967,91.061842678218
"MacQueen",5,734479.632634663,0.129559241904033,79.1111579963172
"MacQueen",6,730221.284950202,-0.0264554877979734,70.6850101276036
"MacQueen",7,727344.706001162,-0.0235780538198325,63.1039914598073
"MacQueen",8,726878.967466196,-0.0376311303309311,54.6669537440368
"MacQueen",9,723320.793240389,0.053772074273091,51.7693965745816
"MacQueen",10,721498.488999925,-0.0478283271056796,47.8180521457153
"MacQueen",11,720351.190059639,-0.033654973797262,44.0578772562563
"MacQueen",12,716291.667979427,-0.0584143562943302,43.3786728734732
"MacQueen",13,717021.794001806,-0.0204095330874885,39.2052740903469
"MacQueen",14,713061.450444255,-0.0692581414894332,38.9589350580059
"MacQueen",15,711731.566348593,-0.0395797331827379,37.0418658422937
"MacQueen",16,711749.614596025,-0.064628810506882,34.5556098294409
"MacQueen",17,712262.401782627,-0.0354832088914157,32.0961742073385
"MacQueen",18,708273.051017262,-0.0760437361580411,32.3684995425949
"MacQueen",19,707721.744709111,-0.0121375178755589,30.8495543029759
"MacQueen",20,707612.18610635,-0.0665734236501037,29.2746200284684
