"Algorithm","k","WSS","Silhouette","CH"
"MacQueen",2,378213.150287434,0.213632216485578,132.231908188457
"MacQueen",3,372737.932058874,0.143237034816178,111.415352472692
"MacQueen",4,368737.756642567,-0.011680118283031,96.8970087589689
"MacQueen",5,365908.097020079,-0.0141409700033335,84.8901646996179
"MacQueen",6,363654.320833404,-0.03229789785812,75.8009374261655
"MacQueen",7,361550.65741183,-0.0115335473756964,69.3749035113333
"MacQueen",8,359563.251585501,0.00788081345616075,64.5459010618697
"MacQueen",9,358134.362751217,-0.0486143509093777,59.7014179725019
"MacQueen",10,357113.822658139,-0.0534659457265337,55.125446202325
"MacQueen",11,356487.064329007,0.0110451374079547,50.7518760886753
"MacQueen",12,353900.632264853,-0.0167163392947559,50.4725335033943
"MacQueen",13,354269.9207038,-0.0594031897693238,45.6870521052467
"MacQueen",14,352441.992863825,-0.0266635951938492,44.7884826347068
"MacQueen",15,350806.592754584,-0.0625005474155498,43.7825048035718
"MacQueen",16,349766.289261394,-0.0329116210248995,42.1728802503327
"MacQueen",17,349315.189440221,-0.0429859824854579,40.0676861419225
"MacQueen",18,348217.249763908,-0.0673326179746674,38.9403005093274
"MacQueen",19,348421.633247826,-0.0330447895108156,36.5530565937721
"MacQueen",20,347165.044693303,-0.0780230231825899,35.8956146993253
