"Algorithm","k","WSS","Silhouette","CH"
"Hartigan-Wong",2,755533.974606103,0.330489065304047,139.519281556154
"Hartigan-Wong",3,745089.005791302,0.218154069299082,113.040438611042
"Hartigan-Wong",4,739439.100063332,-0.00975314751540626,91.296814932799
"Hartigan-Wong",5,734372.320081527,0.151138032331673,79.3431893927091
"Hartigan-Wong",6,729989.97677285,-0.0264275540712185,71.0898002462156
"Hartigan-Wong",7,726677.942885863,-0.027738143700557,64.0844887121884
"Hartigan-Wong",8,723538.406589205,-0.0429265067055206,58.89786573027
"Hartigan-Wong",9,720974.259205211,-0.0518406584081042,54.3915040529994
"Hartigan-Wong",10,718801.233760822,-0.0528854270880798,50.5116180592542
"Hartigan-Wong",11,716690.447147922,-0.0533097373524666,47.3624370878681
"Hartigan-Wong",12,714643.495480385,-0.059465577174294,44.7425614015502
"Hartigan-Wong",13,712850.390998949,-0.0485741499676987,42.3737203516861
"Hartigan-Wong",14,710990.587765013,-0.0591793317450424,40.4225312334456
"Hartigan-Wong",15,709043.262383008,-0.0688187001465039,38.8139870586662
"Hartigan-Wong",16,707281.23425918,-0.0533179120052096,37.3111037636296
"Hartigan-Wong",17,705857.044436603,-0.0584033813818387,35.8034463693239
"Hartigan-Wong",18,704040.559102083,-0.0706884086405901,34.6926517663422
"Hartigan-Wong",19,702738.684960853,-0.0734888250316509,33.440216660198
"Hartigan-Wong",20,700862.368593015,-0.0761648606326267,32.6079773875194
"Lloyd",2,755536.254534094,0.33442923418957,139.500640095714
"Lloyd",3,745098.407259491,0.208141071630775,113.000925605052
"Lloyd",4,739530.008768989,0.133194607198234,91.0382615424233
"Lloyd",5,734627.966071584,0.01325905646674,78.7905427818249
"Lloyd",6,730379.283378143,-0.0282821176559605,70.4086597054235
"Lloyd",7,727129.818628502,-0.035476223391403,63.4197940830149
"Lloyd",8,725837.433484293,0.000339549765533008,55.9819068688554
"Lloyd",9,723942.351924549,-0.0272835456439895,51.0776905710563
"Lloyd",10,719637.578581921,-0.0304164424258068,49.6742574513025
"Lloyd",11,720153.435769397,-0.00290373245330928,44.2355320301935
"Lloyd",12,717610.115371144,-0.0624999232097349,42.2921474022378
"Lloyd",13,716956.301404397,-0.0536309017886776,39.2547350019929
"Lloyd",14,713376.979864227,-0.0590628711635178,38.7366785000247
"Lloyd",15,713267.361958662,-0.0263560591899002,36.0354699464517
"Lloyd",16,712725.840782043,-0.0565294763798445,33.9582040625522
"Lloyd",17,709117.616379743,-0.0448114356562949,33.9079339289414
"Lloyd",18,709164.88952013,-0.0640230425098472,31.8823105706987
"Lloyd",19,705602.328744824,-0.0611236652384381,31.9469538528259
"Lloyd",20,706224.170809461,-0.064913232878915,29.9548789732502
"MacQueen",2,755537.064861812,0.334330486254863,139.494014610078
"MacQueen",3,745103.143735877,0.223543183232308,112.981019260159
"MacQueen",4,739506.530665577,0.167295638237173,91.105029512333
"MacQueen",5,734812.951250401,-0.015177095514027,78.3908880524508
"MacQueen",6,730254.903520936,-0.0304177537975251,70.6261988550339
"MacQueen",7,727380.330869025,-0.0164432205868428,63.0516544988152
"MacQueen",8,724869.028733784,-0.0408381056467419,57.2079233176103
"MacQueen",9,722818.554439525,-0.0382739819008051,52.3291855744199
"MacQueen",10,721274.595220678,-0.0519693576621208,48.0408729653712
"MacQueen",11,718904.766658901,-0.0554022326236983,45.3595448155089
"MacQueen",12,717785.700266124,-0.0693925505807251,42.1477500080385
"MacQueen",13,717137.196234889,-0.0536031639167545,39.118142718453
"MacQueen",14,715257.54218277,-0.0536634586317827,37.4160916537602
"MacQueen",15,712094.898323269,-0.0662628391989041,36.8033849808336
"MacQueen",16,710758.05021485,-0.0719607211414868,35.1640818224444
"MacQueen",17,711174.020192999,-0.059099823058269,32.7213946416122
"MacQueen",18,709196.728208202,-0.0592694171471809,31.8649762014249
"MacQueen",19,706407.627669725,-0.0644112687239796,31.5292073189354
"MacQueen",20,707177.65966957,-0.068702414080576,29.4872920003476
