"Algorithm","k","WSS","Silhouette","CH"
"MacQueen",2,755537.064861812,0.334330486254863,139.494014610078
"MacQueen",3,745103.143735877,0.223543183232308,112.981019260159
"MacQueen",4,739506.530665577,0.167295638237173,91.105029512333
"MacQueen",5,734812.951250401,-0.015177095514027,78.3908880524508
"MacQueen",6,730254.903520936,-0.0304177537975251,70.6261988550339
"MacQueen",7,727380.330869025,-0.0164432205868428,63.0516544988152
"MacQueen",8,724869.028733784,-0.0408381056467419,57.2079233176103
"MacQueen",9,722818.554439525,-0.0382739819008051,52.3291855744199
"MacQueen",10,721274.595220678,-0.0519693576621208,48.0408729653712
"MacQueen",11,718904.766658901,-0.0554022326236983,45.3595448155089
"MacQueen",12,717785.700266124,-0.0693925505807251,42.1477500080385
"MacQueen",13,717137.196234889,-0.0536031639167545,39.118142718453
"MacQueen",14,715257.54218277,-0.0536634586317827,37.4160916537602
"MacQueen",15,712094.898323269,-0.0662628391989041,36.8033849808336
"MacQueen",16,710758.05021485,-0.0719607211414868,35.1640818224444
"MacQueen",17,711174.020192999,-0.059099823058269,32.7213946416122
"MacQueen",18,709196.728208202,-0.0592694171471809,31.8649762014249
"MacQueen",19,706407.627669725,-0.0644112687239796,31.5292073189354
"MacQueen",20,707177.65966957,-0.068702414080576,29.4872920003476
