"Method","k","Silhouette","CH"
"PD",2,-3.66067291638402e-05,1.18004769486945
"PD",3,-0.00236972135587248,1.0408289277415
"PD",4,-0.00488927807950168,0.931106129221276
"PD",5,-0.00834776781931157,1.0821900332568
"PD",6,-0.019187159578071,0.967831281623024
"PD",7,-0.0192500379021641,0.949072429680332
"PD",8,-0.0318079354463736,0.93068605074696
"PD",9,-0.0297917652116694,0.943341118711102
"PD",10,-0.0240371150487983,0.979532816503039
"PD",11,-0.0297393795538379,0.947533538429533
"PD",12,-0.027830884235329,1.03621389634026
"PD",13,-0.0173150490990244,0.913589719615152
"PD",14,-0.0328056100515531,0.990576091790006
"PD",15,-0.0212273082538765,1.00645810368358
"PD",16,-0.0332189796033712,1.00438198925811
"PD",17,-0.0368817273227677,0.993408512095136
"PD",18,-0.0569843771474498,0.963357010055941
"PD",19,-0.0298421028126524,1.02605637746024
"PD",20,-0.0414995662898828,0.987222507886401
