"Method","k","Silhouette","CH"
"PD",2,-9.20437057775231e-05,1.02080652136116
"PD",3,-0.00121054361400722,1.08925191992129
"PD",4,-0.00238229810987212,1.10930949199241
"PD",5,-0.0163403353733519,0.916903629432803
"PD",6,-0.011636802288202,1.04512233756551
"PD",7,-0.00823911448723625,1.02353908034871
"PD",8,-0.0160687159649926,1.06051440284213
"PD",9,-0.0228527843120793,0.9218943843279
"PD",10,-0.0211909325754726,1.04623218617402
"PD",11,-0.0187804159933964,0.947907085487841
"PD",12,-0.0154487838860216,1.00221567540002
"PD",13,-0.0304176133919297,1.05004522659448
"PD",14,-0.0271164542700939,0.990580136121855
"PD",15,-0.0283741314393776,0.987396776725059
"PD",16,-0.0413596640146725,1.0463345862527
"PD",17,-0.0317198061689542,1.06123473178484
"PD",18,-0.0338582393870132,1.04180200441076
"PD",19,-0.0459049674826327,1.04514082328516
"PD",20,-0.0446581979121937,0.99720263885333
