"Method","k","Silhouette","CH"
"PD",2,-5.37019719604991e-05,0.929356005226172
"PD",3,-0.00409404899976518,0.964203417152842
"PD",4,-0.0120627814881712,0.788253985299671
"PD",5,-0.00518375198297335,1.04412713706044
"PD",6,-0.0117007026190114,1.01141297502525
"PD",7,-0.0117188872229618,1.00002023804979
"PD",8,-0.0154437971224456,0.942087087304028
"PD",9,-0.023333701699452,1.04247835678696
"PD",10,-0.0258683931357998,1.00790655958826
"PD",11,-0.0193071579445062,0.961241758000242
"PD",12,-0.0402295760207514,1.01249325453914
"PD",13,-0.0229625554407299,1.04254830817166
"PD",14,-0.0253210644464403,0.940532312247622
"PD",15,-0.0177779827641639,0.962420986100979
"PD",16,-0.0168068579278994,1.00298241223811
"PD",17,-0.035692019134969,1.03477876452541
"PD",18,-0.0261223607797778,1.04225462231867
"PD",19,-0.0294139076632047,0.998094979374455
"PD",20,-0.0327916222708139,1.02618550520388
