"k","q","asw"
2,2,0.232142117832404
3,2,0.154746448051053
4,2,-0.0100710869200978
5,2,0.0468413016734574
6,2,0.060608611159286
7,2,-0.0236087449149001
8,2,-0.0506210866282965
9,2,-0.0497719286189099
10,2,-0.056952751245298
2,3,0.237596585363625
3,3,0.154701395501458
4,3,-0.0100725894159377
5,3,-0.0126267387223766
6,3,0.0356709100210701
7,3,0.0455145475657291
8,3,0.0265146265227174
9,3,-0.0107523667505842
10,3,-0.0439615483178071
2,4,0.233192553965856
3,4,0.15202335783402
4,4,-0.0109348673712285
5,4,-0.0128373928537962
6,4,-0.024024801815616
7,4,0.019824022905462
8,4,0.0161584196166074
9,4,0.016926235831515
10,4,-0.0271914785063519
2,5,0.233541495394486
3,5,0.156346368016333
4,5,-0.00757135657434688
5,5,-0.016732302889811
6,5,-0.00747426330276925
7,5,0.0270112156382214
8,5,0.0287604709399082
9,5,-0.000165798476407978
10,5,-0.00150335540682526
2,6,0.233326902719125
3,6,0.157069808869408
4,6,-0.0100329463720968
5,6,-0.00822117985255633
6,6,-0.0249166703635132
7,6,-0.0313866584588527
8,6,0.0198866001453012
9,6,0.0158825959394674
10,6,-0.00307882435303461
